chapter,in,metadataTags,out,storyline-importance
chapter005,27059,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:18:02"",""oute"":""27427"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment053"",""shot"":""long shot"",""subject"":""terns""}",27428,10
chapter005,27428,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:18:17"",""oute"":""27823"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment054"",""shot"":""long shot"",""subject"":""terns""}",27824,6
chapter005,27824,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:18:32"",""oute"":""28150"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment055"",""shot"":""long shot"",""subject"":""terns""}",28151,3
chapter005,28151,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:18:46"",""oute"":""28496"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""segment"":""segment056"",""shot"":""underwater"",""subject"":""sand-eels""}",28497,10
chapter005,28497,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:18:59"",""oute"":""28932"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""segment"":""segment057"",""shot"":""underwater"",""subject"":""sand-eels""}",28933,6
chapter005,28933,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:19:17"",""oute"":""29432"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""segment"":""segment058"",""shot"":""talking-heads"",""subject"":""sand-eels""}",29433,3
chapter005,29433,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:19:37"",""oute"":""30251"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""segment"":""segment059"",""shot"":""montage"",""subject"":""sand-eels""}",30252,1
chapter005,30252,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:20:10"",""oute"":""31086"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""secondary-topic"":""climate change"",""segment"":""segment060"",""shot"":""montage"",""subject"":""sand-eels""}",31087,1
chapter005,31087,"{""Gillian Burke"":""TRUE"",""elapsed"":""00:20:43"",""oute"":""31904"",""primary-topic"":""sand-eels"",""scene"":""scene006"",""secondary-topic"":""climate change"",""segment"":""segment061"",""shot"":""underwater"",""subject"":""sand-eels""}",31905,1
chapter006,31905,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""elapsed"":""00:21:16"",""oute"":""32290"",""primary-topic"":""insects"",""scene"":""scene006"",""secondary-topic"":""climate change"",""segment"":""segment062"",""shot"":""intro"",""subject"":""bugs""}",32291,6
chapter006,32291,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""elapsed"":""00:21:31"",""oute"":""33758"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment063"",""shot"":""montage"",""subject"":""bugs""}",33759,6
chapter006,33759,"{""Gillian Burke"":""TRUE"",""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""elapsed"":""00:22:30"",""oute"":""34355"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment064"",""shot"":""montage"",""subject"":""bugs""}",34356,10
chapter006,34356,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""elapsed"":""00:22:54"",""oute"":""34787"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment065"",""shot"":""montage"",""subject"":""bugs""}",34788,6
chapter006,34788,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""elapsed"":""00:23:11"",""oute"":""35398"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment066"",""shot"":""montage"",""subject"":""bugs""}",35399,3
chapter006,35399,"{""Guest"":""Marianne Hill"",""Guest affiliation"":""Artist"",""elapsed"":""00:23:35"",""oute"":""35799"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment067"",""shot"":""montage"",""subject"":""bugs""}",35800,6
chapter006,35800,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""elapsed"":""00:23:52"",""oute"":""36199"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment068"",""shot"":""montage"",""subject"":""bugs""}",36200,1
chapter006,36200,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""elapsed"":""00:24:08"",""oute"":""37327"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment069"",""shot"":""montage"",""subject"":""bugs""}",37328,6
chapter006,37328,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""elapsed"":""00:24:53"",""oute"":""38577"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment070"",""shot"":""montage"",""subject"":""bugs""}",38578,1
